anio,cat_inac,cat_ocup,ch03,ch04,ch06,ch07,ch08,ch12,ch13,ch14,codusu,estado,ipcf,itf,miembros_hogar,nivel_ed,nro_hogar,pondera,pp03d,pp04a,pp04c,pp10a,pp3e_tot,pp3e_tot_missing,pp3f_tot,pp3f_tot_missing,lp_pc,pobre
2005,0.0,3.0,3.0,1.0,32.0,1.0,4.0,4.0,1.0,,131047,1.0,125.71428571428572,880.0,7.0,4.0,1.0,308.0,0.0,2.0,4.0,0.0,48.0,0,0.0,0,205.07,1
2005,0.0,3.0,4.0,2.0,33.0,1.0,4.0,4.0,2.0,3.0,131047,2.0,125.71428571428572,880.0,7.0,3.0,1.0,308.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0,205.07,1
2005,3.0,0.0,5.0,1.0,11.0,5.0,4.0,3.0,2.0,5.0,131047,3.0,125.71428571428572,880.0,7.0,1.0,1.0,308.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,1
2005,3.0,0.0,5.0,2.0,12.0,5.0,4.0,3.0,2.0,6.0,131047,3.0,125.71428571428572,880.0,7.0,1.0,1.0,308.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,1
2005,3.0,0.0,5.0,2.0,12.0,5.0,4.0,3.0,2.0,6.0,131047,3.0,125.71428571428572,880.0,7.0,1.0,1.0,308.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,1
2005,1.0,0.0,10.0,2.0,88.0,4.0,1.0,2.0,1.0,,131047,3.0,125.71428571428572,880.0,7.0,2.0,1.0,308.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,1
2005,0.0,2.0,1.0,1.0,47.0,2.0,1.0,4.0,1.0,,131398,1.0,750.0,3000.0,4.0,4.0,1.0,366.0,0.0,2.0,1.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,3.0,2.0,2.0,49.0,2.0,1.0,4.0,1.0,,131398,1.0,750.0,3000.0,4.0,4.0,1.0,366.0,0.0,2.0,11.0,0.0,38.0,0,0.0,0,205.07,0
2005,3.0,0.0,3.0,1.0,24.0,5.0,1.0,7.0,2.0,3.0,131398,3.0,750.0,3000.0,4.0,5.0,1.0,366.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,3.0,0.0,3.0,2.0,13.0,5.0,1.0,3.0,2.0,8.0,131398,3.0,750.0,3000.0,4.0,3.0,1.0,366.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,2.0,0.0,1.0,2.0,48.0,3.0,1.0,7.0,2.0,0.0,131700,3.0,640.0,1280.0,2.0,5.0,1.0,588.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,3.0,3.0,1.0,19.0,5.0,1.0,5.0,2.0,2.0,131700,1.0,640.0,1280.0,2.0,3.0,1.0,588.0,0.0,2.0,99.0,0.0,48.0,0,0.0,0,205.07,0
2005,0.0,2.0,1.0,1.0,63.0,2.0,4.0,2.0,1.0,,131808,1.0,178.33333333333334,1070.0,6.0,2.0,1.0,241.0,2.0,2.0,2.0,0.0,30.0,0,20.0,0,205.07,1
2005,4.0,0.0,2.0,2.0,59.0,2.0,4.0,,,,131808,3.0,178.33333333333334,1070.0,6.0,7.0,1.0,241.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,1
2005,3.0,0.0,5.0,1.0,12.0,5.0,4.0,3.0,2.0,3.0,131808,3.0,178.33333333333334,1070.0,6.0,1.0,1.0,241.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,1
2005,3.0,0.0,5.0,1.0,6.0,5.0,4.0,3.0,2.0,0.0,131808,4.0,178.33333333333334,1070.0,6.0,1.0,1.0,241.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,1
2005,3.0,0.0,5.0,1.0,11.0,5.0,4.0,3.0,2.0,0.0,131808,3.0,178.33333333333334,1070.0,6.0,1.0,1.0,241.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,1
2005,0.0,3.0,3.0,1.0,16.0,5.0,4.0,3.0,2.0,6.0,131808,1.0,178.33333333333334,1070.0,6.0,1.0,1.0,241.0,2.0,2.0,2.0,0.0,30.0,0,30.0,0,205.07,1
2005,1.0,0.0,1.0,2.0,79.0,4.0,12.0,2.0,1.0,,131891,3.0,341.0,341.0,1.0,2.0,1.0,326.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,1.0,0.0,1.0,2.0,79.0,4.0,1.0,2.0,1.0,,132321,3.0,390.0,390.0,1.0,2.0,1.0,364.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
