codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,itf,ipcf,pondera,pondih,cat_ocup,pp03d,pp3e_tot,pp3f_tot,pp04a,pp04c,pp10a,pp3e_tot_missing,pp3f_tot_missing,anio
TQRMNOPVSHLLLTCDEFLID00851937,1,2,80,2,1.0,4,3,1,990000.0,495000.0,469.0,536.0,0,,,,,,,0,0,2025
TQRMNOQXTHJOKPCDEFJAH00877519,1,2,57,3,4.0,2,1,0,625000.0,208333.33,558.0,743.0,2,0.0,6.0,0.0,2.0,1.0,,0,0,2025
TQRMNOQXTHJOKPCDEFJAH00877519,1,1,62,5,4.0,4,1,0,625000.0,208333.33,558.0,743.0,2,0.0,30.0,0.0,2.0,1.0,,0,0,2025
TQRMNOQXTHJOKPCDEFJAH00877519,1,1,15,5,4.0,3,3,7,625000.0,208333.33,558.0,743.0,0,,,,,,,0,0,2025
TQRMNOSRRHLLLUCDEIKAH00855831,1,1,46,5,1.0,6,1,0,1500000.0,1500000.0,1048.0,2102.0,3,0.0,42.0,0.0,1.0,2.0,,0,0,2025
TQRMNOPPRHJOLSCDEIKAH00876747,1,2,59,2,1.0,4,3,1,2300000.0,1150000.0,443.0,642.0,0,,,,,,,0,0,2025
TQRMNOSURHMKLNCDEIMBF00880491,1,2,35,5,1.0,6,1,0,600000.0,600000.0,98.0,153.0,3,0.0,15.0,0.0,1.0,7.0,,0,0,2025
TQRMNORYVHKNLLCDEIMBF00858126,1,2,47,3,4.0,4,1,0,2450000.0,816666.67,113.0,136.0,2,0.0,40.0,0.0,2.0,1.0,,0,0,2025
TQRMNORYVHKNLLCDEIMBF00858126,1,2,29,5,1.0,5,1,0,2450000.0,816666.67,113.0,136.0,3,0.0,40.0,0.0,2.0,,,0,0,2025
TQRMNORYVHKNLLCDEIMBF00858126,1,1,27,5,4.0,5,1,0,2450000.0,816666.67,113.0,136.0,3,0.0,20.0,0.0,2.0,3.0,,0,0,2025
