codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,ipcf,pondera,cat_ocup,pp03d,pp3e_tot,pp3f_tot,pp04a,pp04c,pp10a,pp3e_tot_missing,pp3f_tot_missing,anio,itf,pondih
134359,1.0,2.0,39.0,2.0,1.0,5.0,1.0,0.0,925.0,269.0,2.0,0.0,6.0,0.0,2.0,1.0,0.0,0,0,2005,,
134359,1.0,2.0,12.0,5.0,1.0,2.0,3.0,3.0,925.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
134359,1.0,1.0,9.0,5.0,1.0,1.0,4.0,3.0,925.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
135194,1.0,2.0,60.0,4.0,12.0,2.0,2.0,0.0,75.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,2005,,
135194,1.0,2.0,22.0,1.0,1.0,5.0,3.0,3.0,75.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
135194,1.0,1.0,22.0,1.0,1.0,5.0,3.0,3.0,75.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
135194,1.0,2.0,1.0,5.0,1.0,7.0,4.0,5.0,75.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
135555,1.0,1.0,60.0,2.0,12.0,6.0,1.0,0.0,568.0,374.0,3.0,0.0,56.0,0.0,2.0,7.0,0.0,0,0,2005,,
135555,1.0,2.0,60.0,2.0,12.0,6.0,3.0,1.0,568.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
135555,1.0,2.0,34.0,5.0,12.0,6.0,1.0,0.0,568.0,374.0,3.0,0.0,0.0,0.0,2.0,11.0,0.0,0,0,2005,,
135555,1.0,2.0,31.0,5.0,12.0,6.0,0.0,0.0,568.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
135555,1.0,2.0,30.0,5.0,12.0,6.0,0.0,0.0,568.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
135655,1.0,1.0,51.0,2.0,4.0,5.0,1.0,0.0,270.0,416.0,3.0,0.0,30.0,0.0,2.0,99.0,0.0,0,0,2005,,
135655,1.0,2.0,46.0,2.0,4.0,4.0,1.0,0.0,270.0,416.0,3.0,0.0,6.0,0.0,2.0,0.0,0.0,0,0,2005,,
135655,1.0,2.0,22.0,5.0,4.0,4.0,1.0,0.0,270.0,416.0,3.0,0.0,40.0,0.0,2.0,4.0,0.0,0,0,2005,,
