codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,itf,ipcf,pondera,pondih,cat_ocup,pp03d,pp3e_tot,pp3f_tot,pp04a,pp04c,pp10a,pp3e_tot_missing,pp3f_tot_missing
TQRMNORVUHMNKOCDEIMBF00877916,1,1,60,5,4.0,2,3,6,1910000.0,318333.33,96.0,113.0,0,,,,,,,0,0
TQRMNORVUHMNKOCDEIMBF00877916,1,1,52,5,4.0,2,3,4,1910000.0,318333.33,96.0,113.0,0,,,,,,,0,0
TQRMNORVUHMNKOCDEIMBF00877916,1,2,60,5,1.0,1,3,6,1910000.0,318333.33,96.0,113.0,0,,,,,,,0,0
TQRMNOQTQHKKKOCDEIMBF00860785,1,1,56,2,1.0,5,1,0,0.0,0.0,166.0,,3,2.0,30.0,10.0,2.0,6.0,,0,0
TQRMNOQTQHKKKOCDEIMBF00860785,1,2,58,2,1.0,6,1,0,0.0,0.0,166.0,,3,0.0,25.0,0.0,1.0,4.0,,0,0
TQRMNOQTQHKKKOCDEIMBF00860785,1,2,22,5,1.0,5,1,0,0.0,0.0,166.0,,3,0.0,20.0,0.0,2.0,0.0,,0,0
TQRMNOQTQHKKKOCDEIMBF00860785,1,2,26,5,1.0,6,1,0,0.0,0.0,166.0,,3,0.0,24.0,0.0,2.0,,,0,0
TQRMNOQYPHJKKOCDEIMBF00872759,1,2,48,3,1.0,6,1,0,750000.0,750000.0,107.0,188.0,3,2.0,4.0,2.0,2.0,3.0,,0,0
TQRMNOVQSHKMKPCDEIMBF00859812,2,2,25,1,1.0,5,1,0,980000.0,490000.0,163.0,228.0,3,0.0,30.0,0.0,1.0,11.0,,0,0
TQRMNOVQSHKMKPCDEIMBF00859812,2,1,25,1,4.0,5,1,0,980000.0,490000.0,163.0,228.0,3,0.0,30.0,0.0,1.0,7.0,,0,0
TQRMNOSRXHJOKPCDEIMBF00872772,1,1,78,4,1.0,2,3,1,1295000.0,647500.0,126.0,160.0,0,,,,,,,0,0
TQRMNOSRXHJOKPCDEIMBF00872772,1,2,27,5,1.0,4,1,0,1295000.0,647500.0,126.0,160.0,3,0.0,48.0,0.0,2.0,,,0,0
TQRMNOQUVHJMKQCDEIMBF00872773,1,2,68,4,1.0,3,3,1,0.0,0.0,139.0,,0,,,,,,,0,0
TQRMNOQUVHJMKQCDEIMBF00872773,1,1,40,5,4.0,4,1,0,0.0,0.0,139.0,,2,0.0,84.0,0.0,2.0,3.0,,0,0
TQRMNOUTQHKKKMCDEIOAH00877627,1,2,37,1,1.0,4,1,0,3150000.0,787500.0,134.0,210.0,3,0.0,30.0,0.0,1.0,9.0,,0,0
TQRMNOUTQHKKKMCDEIOAH00877627,1,1,39,1,1.0,4,1,0,3150000.0,787500.0,134.0,210.0,3,0.0,0.0,0.0,2.0,,,0,0
TQRMNOUTQHKKKMCDEIOAH00877627,1,2,12,5,1.0,3,3,3,3150000.0,787500.0,134.0,210.0,0,,,,,,,0,0
TQRMNOUTQHKKKMCDEIOAH00877627,1,1,5,5,1.0,7,4,5,3150000.0,787500.0,134.0,210.0,0,,,,,,,0,0
